job        : 37226
node       : soeepyc06
started    : 2026-08-14T16:14:19Z
stations   : /vol_efthymios/NFS07/dd1136/T_and_C/input_data/gcm_stations
co2        : /vol_efthymios/NFS07/dd1136/T_and_C/input_data/co2
output     : /vol_efthymios/NFS07/dd1136/T_and_C/input_data/gcm_meteo
precip     : block

args       : --dry-run --all
stations : 101   elevation known for 118 (badm_values=110, site_registry=8)
input    : /vol_efthymios/NFS07/dd1136/T_and_C/input_data/gcm_stations
output   : /vol_efthymios/NFS07/dd1136/T_and_C/input_data/gcm_meteo
precip   : block   seed 20260813

  GFDL-ESM4 historical (ECS 2.6 K): 12775 days, 101 stations
    US-PFb: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-40.5, 36.6], 'Ta_mean': 5.09, 'Pre_mbar': 957.9, 'Pr_mm_yr': 786.6, 'Pr_max_h': 8.79, 'Rsw_max': 960.1, 'Ds_mean': 339.4, 'Ca': [338.7, 397.5]}
    US-PFc: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-40.5, 36.6], 'Ta_mean': 5.09, 'Pre_mbar': 958.0, 'Pr_mm_yr': 786.6, 'Pr_max_h': 8.79, 'Rsw_max': 960.2, 'Ds_mean': 339.4, 'Ca': [338.7, 397.5]}
    US-PFg: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-40.5, 36.6], 'Ta_mean': 5.09, 'Pre_mbar': 957.8, 'Pr_mm_yr': 786.6, 'Pr_max_h': 8.79, 'Rsw_max': 960.1, 'Ds_mean': 339.4, 'Ca': [338.7, 397.5]}
    US-PFh: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-42.0, 36.4], 'Ta_mean': 4.81, 'Pre_mbar': 959.1, 'Pr_mm_yr': 791.3, 'Pr_max_h': 8.43, 'Rsw_max': 959.0, 'Ds_mean': 337.3, 'Ca': [338.7, 397.5]}
    US-PFi: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-42.0, 36.4], 'Ta_mean': 4.81, 'Pre_mbar': 956.3, 'Pr_mm_yr': 791.3, 'Pr_max_h': 8.43, 'Rsw_max': 958.9, 'Ds_mean': 337.3, 'Ca': [338.7, 397.5]}
    US-PFj: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-42.0, 36.4], 'Ta_mean': 4.81, 'Pre_mbar': 956.7, 'Pr_mm_yr': 791.3, 'Pr_max_h': 8.43, 'Rsw_max': 958.9, 'Ds_mean': 337.3, 'Ca': [338.7, 397.5]}
    US-PFk: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-40.5, 36.6], 'Ta_mean': 5.09, 'Pre_mbar': 957.7, 'Pr_mm_yr': 786.6, 'Pr_max_h': 8.79, 'Rsw_max': 960.5, 'Ds_mean': 339.4, 'Ca': [338.7, 397.5]}
    US-PFm: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-40.5, 36.6], 'Ta_mean': 5.09, 'Pre_mbar': 956.7, 'Pr_mm_yr': 786.6, 'Pr_max_h': 8.79, 'Rsw_max': 960.4, 'Ds_mean': 339.4, 'Ca': [338.7, 397.5]}
    US-PFn: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-40.5, 36.6], 'Ta_mean': 5.09, 'Pre_mbar': 957.4, 'Pr_mm_yr': 786.6, 'Pr_max_h': 8.79, 'Rsw_max': 960.3, 'Ds_mean': 339.4, 'Ca': [338.7, 397.5]}
    US-PFp: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-40.5, 36.6], 'Ta_mean': 5.09, 'Pre_mbar': 955.3, 'Pr_mm_yr': 786.6, 'Pr_max_h': 8.79, 'Rsw_max': 960.3, 'Ds_mean': 339.4, 'Ca': [338.7, 397.5]}
    US-PFq: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-42.0, 36.4], 'Ta_mean': 4.81, 'Pre_mbar': 958.0, 'Pr_mm_yr': 791.3, 'Pr_max_h': 8.43, 'Rsw_max': 959.1, 'Ds_mean': 337.3, 'Ca': [338.7, 397.5]}
    US-PFs: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-42.0, 36.4], 'Ta_mean': 4.81, 'Pre_mbar': 956.2, 'Pr_mm_yr': 791.3, 'Pr_max_h': 8.43, 'Rsw_max': 959.1, 'Ds_mean': 337.3, 'Ca': [338.7, 397.5]}
    US-PFt: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-42.0, 36.4], 'Ta_mean': 4.81, 'Pre_mbar': 958.8, 'Pr_mm_yr': 791.3, 'Pr_max_h': 8.43, 'Rsw_max': 959.2, 'Ds_mean': 337.3, 'Ca': [338.7, 397.5]}
    US-SB1: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-31.5, 47.8], 'Ta_mean': 14.18, 'Pre_mbar': 984.6, 'Pr_mm_yr': 1020.5, 'Pr_max_h': 12.58, 'Rsw_max': 977.6, 'Ds_mean': 503.9, 'Ca': [338.7, 397.5]}
    US-SHC: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-36.4, 38.4], 'Ta_mean': 8.35, 'Pre_mbar': 805.6, 'Pr_mm_yr': 734.8, 'Pr_max_h': 17.13, 'Rsw_max': 1081.1, 'Ds_mean': 725.4, 'Ca': [338.7, 397.5]}
    US-SP1: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-11.4, 46.5], 'Ta_mean': 21.72, 'Pre_mbar': 1007.3, 'Pr_mm_yr': 1319.3, 'Pr_max_h': 13.65, 'Rsw_max': 992.9, 'Ds_mean': 697.3, 'Ca': [338.7, 397.5]}
    US-SP2: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-12.4, 46.3], 'Ta_mean': 21.38, 'Pre_mbar': 1007.3, 'Pr_mm_yr': 1325.1, 'Pr_max_h': 13.27, 'Rsw_max': 992.2, 'Ds_mean': 682.7, 'Ca': [338.7, 397.5]}
    US-SP3: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-12.4, 46.3], 'Ta_mean': 21.38, 'Pre_mbar': 1007.3, 'Pr_mm_yr': 1325.1, 'Pr_max_h': 13.27, 'Rsw_max': 992.4, 'Ds_mean': 682.7, 'Ca': [338.7, 397.5]}
    US-SP4: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-12.4, 46.3], 'Ta_mean': 21.38, 'Pre_mbar': 1007.6, 'Pr_mm_yr': 1325.1, 'Pr_max_h': 13.27, 'Rsw_max': 992.2, 'Ds_mean': 682.7, 'Ca': [338.7, 397.5]}
    US-SSH: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-32.8, 42.8], 'Ta_mean': 10.48, 'Pre_mbar': 976.7, 'Pr_mm_yr': 1015.7, 'Pr_max_h': 11.79, 'Rsw_max': 959.1, 'Ds_mean': 391.9, 'Ca': [338.7, 397.5]}
    US-Slt: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-24.3, 42.2], 'Ta_mean': 12.91, 'Pre_mbar': 1009.7, 'Pr_mm_yr': 1163.5, 'Pr_max_h': 16.93, 'Rsw_max': 1018.6, 'Ds_mean': 445.5, 'Ca': [338.7, 397.5]}
    US-TEF: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-53.6, 35.7], 'Ta_mean': 4.29, 'Pre_mbar': 776.8, 'Pr_mm_yr': 386.3, 'Pr_max_h': 6.52, 'Rsw_max': 977.7, 'Ds_mean': 473.2, 'Ca': [338.7, 397.5]}
    US-UMB: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-43.2, 36.3], 'Ta_mean': 6.29, 'Pre_mbar': 985.5, 'Pr_mm_yr': 812.3, 'Pr_max_h': 9.58, 'Rsw_max': 946.1, 'Ds_mean': 357.4, 'Ca': [338.7, 397.5]}
    US-UMd: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-43.2, 36.3], 'Ta_mean': 6.29, 'Pre_mbar': 984.9, 'Pr_mm_yr': 812.3, 'Pr_max_h': 9.58, 'Rsw_max': 946.1, 'Ds_mean': 357.4, 'Ca': [338.7, 397.5]}
