  US_MMS_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  341.3  Rswmax  994.0  band resid max 113.7 W/m2 (2.18% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_MOz_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  352.3  Rswmax 1021.1  band resid max 114.6 W/m2 (2.19% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_MRf_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  345.6  Rswmax 1021.6  band resid max 100.3 W/m2 (1.41% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Me1_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  349.5  Rswmax 1020.1  band resid max 105.2 W/m2 (1.81% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Me2_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  353.8  Rswmax 1026.8  band resid max 107.1 W/m2 (1.81% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Me4_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  352.0  Rswmax 1026.5  band resid max 107.9 W/m2 (1.83% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Me6_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  352.9  Rswmax 1027.6  band resid max 108.3 W/m2 (1.80% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Me7_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  353.8  Rswmax 1026.8  band resid max 107.2 W/m2 (1.81% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_MtB_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  387.8  Rswmax 1107.5  band resid max 129.2 W/m2 (2.63% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_NC2_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  320.7  Rswmax  955.4  band resid max 110.4 W/m2 (2.32% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_NC3_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  320.7  Rswmax  955.5  band resid max 110.2 W/m2 (2.34% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_NC5_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  333.7  Rswmax  967.0  band resid max 112.1 W/m2 (2.89% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_NMj_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  318.3  Rswmax  957.6  band resid max 104.3 W/m2 (2.19% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_NR1_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  359.5  Rswmax 1047.9  band resid max 121.4 W/m2 (2.11% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Oho_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  330.9  Rswmax  968.3  band resid max 112.0 W/m2 (2.39% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFL_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  323.1  Rswmax  957.2  band resid max 105.2 W/m2 (2.03% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFb_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  323.1  Rswmax  957.0  band resid max 105.2 W/m2 (2.03% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFc_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  323.1  Rswmax  957.1  band resid max 105.0 W/m2 (2.06% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFg_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  323.1  Rswmax  957.0  band resid max 109.4 W/m2 (2.08% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFh_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  322.9  Rswmax  958.6  band resid max 109.0 W/m2 (2.07% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFi_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  323.0  Rswmax  958.5  band resid max 108.8 W/m2 (2.07% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFj_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  323.0  Rswmax  958.6  band resid max 108.8 W/m2 (2.07% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFk_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  323.2  Rswmax  957.4  band resid max 105.7 W/m2 (2.01% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFm_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  323.2  Rswmax  957.3  band resid max 105.2 W/m2 (2.03% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFn_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  323.2  Rswmax  957.2  band resid max 104.7 W/m2 (2.06% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFp_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  323.3  Rswmax  957.2  band resid max 109.4 W/m2 (2.08% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFq_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  323.0  Rswmax  958.8  band resid max 109.2 W/m2 (2.08% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFs_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  323.1  Rswmax  958.7  band resid max 109.0 W/m2 (2.07% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_PFt_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  323.0  Rswmax  958.8  band resid max 108.9 W/m2 (2.07% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_SB1_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  335.3  Rswmax  972.6  band resid max 114.5 W/m2 (2.28% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_SHC_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  364.5  Rswmax 1071.2  band resid max 121.2 W/m2 (2.08% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_SP1_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  339.6  Rswmax  979.5  band resid max 114.0 W/m2 (2.02% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_SP2_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  335.6  Rswmax  978.2  band resid max 114.4 W/m2 (2.02% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_SP3_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  335.6  Rswmax  978.4  band resid max 115.5 W/m2 (2.03% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_SP4_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  335.5  Rswmax  978.1  band resid max 116.1 W/m2 (2.04% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_SSH_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  330.0  Rswmax  958.0  band resid max 113.3 W/m2 (1.78% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Slt_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  346.2  Rswmax 1022.4  band resid max 102.4 W/m2 (2.02% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_TEF_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  329.0  Rswmax  980.6  band resid max 105.7 W/m2 (1.88% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_UMB_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  321.5  Rswmax  958.2  band resid max 106.1 W/m2 (2.32% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_UMd_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  321.5  Rswmax  958.1  band resid max 105.9 W/m2 (2.31% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Vcm_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  377.5  Rswmax 1097.5  band resid max 126.1 W/m2 (2.31% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Vcp_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  375.5  Rswmax 1097.5  band resid max 127.3 W/m2 (2.32% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_Vcs_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  376.4  Rswmax 1097.2  band resid max 127.4 W/m2 (2.34% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_WBW_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  346.9  Rswmax  997.2  band resid max 117.7 W/m2 (1.78% of hours > 1; reference US_xRM: 77.2, 3.27%)
  US_WCr_MPI_ESM1_2_HR_historical  306816 h  N 0.00-1.00  PARBmax  323.6  Rswmax  959.5  band resid max 107.1 W/m2 (2.06% of hours > 1; reference US_xRM: 77.2, 3.27%)
