station,af_name,af_igbp,elev_m
US-KM3,KBS Marshall Farms Switchgrass,GRA,262.1
US-KM4,KBS Marshall Farms Smooth Brome Grass (Ref),GRA,246.3
US-Kon,Konza Prairie LTER (KNZ),GRA,417
US-KPL,Lily Lake Fen,WET,100.6
US-KS1,Kennedy Space Center (slash pine),ENF,1.00
US-KS2,Kennedy Space Center (scrub oak),CSH,3.00
US-KS3,Kennedy Space Center (salt marsh),WET,0
US-KS4,Kennedy Space Center (Spartina marsh),WET,0.5
US-KSA,Kegonsa Solar Array,GRA,269
US-KSC,Kegonsa Solar - Control,CRO,278
US-KSP,Kegonsa Solar - Pretreatment,CRO,269
US-KUO,KUOM tower,URB,301
US-KUT,KUOM Turfgrass Field,GRA,301
US-Kyv,Apple Orchard ARS Kearneysville WV,CRO,185
US-LA1,Pointe-aux-Chenes Brackish Marsh,WET,0
US-LA2,Salvador WMA Freshwater Marsh,WET,0
US-LA3,Barataria Bay Saline Marsh,WET,0.2
US-LCW,Los Cerritos Wetland,WET,0
US-LGr,Lockney Grassland,GRA,1026
US-Lin,Lindcove Orange Orchard,CRO,131
US-LL1,Longleaf Pine - Baker (Mesic site),SAV,165
US-LL2,Longleaf Pine - Dubignion (Intermediate site),SAV,155
US-LL3,Longleaf Pine - Red Dirt (Xeric site),SAV,159.5
US-LMA,Mississippi ARS Arant ASP,CRO,39
US-LMB,Mississippi ARS Arant Bau,CRO,39
US-LMS,LMRB LTAR Schmidt Farm,CRO,56.2
US-LMW,Mississippi ARS Watts,CRO,49.3
US-Los,Lost Creek,WET,480.00
US-LPH,Little Prospect Hill,DBF,377.5
US-LS1,San Pedro River Lewis Springs Sacaton Grassland,GRA,1230
US-LS2,San Pedro River Lewis Springs Savanna,SAV,1240
US-LU1,Missouri-Moreau River Basin USDA Certified Organic Farm,CVM,187
US-LWW,Little Washita Watershed,GRA,365
US-MAC,MacArthur Agro-Ecology,WET,
US-MBP,Marcell Bog Lake Peatland,WET,416
US-MC1,"Creston, Montana pivot-irrigated spring wheat",CRO,900
US-MC2,"Creston, Montana pivot-irrigated spring wheat 2",CRO,900
US-MCP,"Moro Cojo Slough, PG&E Treatment Wetland",WET,0
US-Me1,Metolius - Eyerly burn,ENF,896
US-Me2,Metolius mature ponderosa pine,ENF,1253.00
US-Me3,Metolius-second young aged pine,ENF,1005
US-Me4,Metolius-old aged ponderosa pine,ENF,922
US-Me5,Metolius-first young aged pine,ENF,1188
US-Me6,Metolius Young Pine Burn,ENF,998
US-Me7,Metolius Low Burn Severity Subcanopy,ENF,1253
US-MEF,Manitou Experimental Forest,ENF,2367
US-Men,"Lake Mendota, Center for Limnology Site",WAT,260
US-MFs,Moore Fields,CRO,20
US-MG1,MPG Ranch Rangeland Restoration,GRA,1043
US-MH1,"Huntley, Montana irrigated barley site 1",CRO,919.6
US-MH2,"Huntley, Montana irrigated barley site 2",CRO,891
US-Mi1,LTAR UCB (Upper Chesapeake Bay) Miscanthus 1,CVM,290
US-Mi2,LTAR UCB (Upper Chesapeake Bay) Miscanthus 2,CVM,280
US-Mi3,LTAR UCB (Upper Chesapeake Bay) Miscanthus 3,CVM,270
US-Mj1,Montana Judith Basin wheat field,CRO,1285
US-Mj2,Montana Judith Basin summer fallow field,CRO,1277
US-MKG,Maggie Creek Fall Grazed,OSH,1634
